user_id,posts_per_week,likes_per_week,comments_per_week,shares_per_week,followers,following,avg_session_minutes,active_days_per_week,night_activity_ratio,video_watch_minutes,purchase_clicks_per_week
U100000,3,220,65,8,575,607,81.6,5,0.757,437.9,11
U100001,1,287,67,28,4449,178,83.9,2,0.816,521.2,8
U100002,3,251,78,57,1139,894,64.3,6,1.0,546.0,12
U100003,7,457,116,48,1200,1065,113.9,6,0.612,712.4,12
U100004,1,140,60,26,358,496,44.7,1,0.629,324.4,0
U100005,0,0,17,18,331,543,52.7,3,0.633,254.9,5
U100006,6,362,88,54,1527,597,88.2,3,0.225,777.6,3
U100007,2,229,40,30,1707,354,71.0,2,0.645,426.1,1
U100008,2,381,89,35,1726,1080,71.0,4,0.744,373.4,11
U100009,0,195,38,33,839,631,60.9,2,0.361,371.5,6
U100010,2,291,44,62,797,1255,85.4,5,0.544,632.8,4
U100011,5,320,75,77,2359,825,65.3,5,0.332,284.0,8
U100012,4,222,83,26,1120,718,85.4,5,0.306,532.3,11
U100013,2,280,42,23,998,826,78.3,5,0.529,503.1,8
U100014,4,243,56,43,1237,478,75.0,5,0.117,449.1,6
U100015,4,274,50,46,929,735,50.8,3,0.64,128.6,4
U100016,3,155,38,36,705,410,112.6,5,0.698,782.9,11
U100017,2,158,38,5,579,141,31.3,2,0.419,237.9,3
U100018,4,309,85,43,2938,844,104.2,6,0.427,668.1,9
U100019,3,333,87,45,2438,775,55.2,4,0.596,281.5,9
U100020,1,203,59,21,995,889,59.9,3,0.424,242.1,7
U100021,1,295,64,46,1391,623,45.4,3,0.197,182.0,0
U100022,3,460,55,90,3659,978,108.2,6,0.557,814.2,14
U100023,1,232,52,34,905,979,78.0,4,0.891,450.7,8
U100024,2,149,14,56,1387,487,69.8,2,0.39,583.7,2
U100025,2,254,70,56,2764,615,60.9,3,0.892,369.7,4
U100026,5,386,106,87,1853,1035,66.0,4,0.398,488.1,11
U100027,1,305,54,35,2131,707,75.7,5,0.388,330.8,8
U100028,5,429,97,61,1340,906,86.1,5,0.68,731.2,6
U100029,4,352,80,72,1896,862,65.7,5,0.655,150.0,2
U100030,3,301,49,53,1339,1005,121.1,7,0.595,430.3,7
U100031,6,335,67,39,2222,387,60.6,4,0.707,124.8,11
U100032,1,164,7,12,1081,723,54.7,3,0.482,283.1,7
U100033,4,281,61,61,1621,566,37.8,3,0.461,292.7,6
U100034,4,346,103,55,1669,883,53.7,6,0.756,220.8,6
U100035,4,270,83,30,1192,736,81.2,6,0.101,454.9,3
U100036,6,369,96,18,1565,935,48.3,4,0.463,108.8,11
U100037,2,266,55,69,1775,490,68.4,3,0.913,283.7,7
U100038,3,300,52,52,3505,743,72.5,3,0.612,570.0,8
U100039,4,439,98,91,2324,1087,112.7,5,0.113,588.2,10
U100040,5,471,117,73,2542,927,70.4,5,0.201,540.4,18
U100041,8,423,98,50,2116,555,86.7,5,0.875,508.2,6
U100042,3,307,60,49,949,955,38.0,3,0.374,194.2,0
U100043,8,488,98,77,3858,577,71.0,5,0.288,69.7,2
U100044,6,308,76,45,1404,990,76.3,3,0.382,429.5,10
U100045,3,302,77,74,1719,1006,65.0,4,0.265,683.5,10
U100046,2,293,46,44,1093,851,102.5,6,0.569,712.3,10
U100047,10,425,87,22,1519,300,93.6,5,0.424,448.1,6
U100048,10,656,141,63,2074,741,99.6,5,0.672,493.3,10
U100049,3,185,50,38,530,445,60.3,4,0.395,519.6,5
U100050,3,347,82,56,655,936,80.5,4,0.792,454.8,11
U100051,3,355,117,64,2280,1127,102.0,5,0.832,484.4,8
U100052,7,375,83,16,320,379,71.0,2,0.616,634.0,7
U100053,1,197,40,41,460,943,58.5,4,0.523,1021.6,15
U100054,2,176,48,37,1318,508,76.8,3,0.485,419.5,12
U100055,3,195,45,28,901,356,62.6,2,0.453,550.8,10
U100056,4,354,99,86,1968,975,43.2,3,0.424,215.3,7
U100057,3,334,78,69,994,1164,100.0,7,0.8,519.4,6
U100058,3,343,87,47,598,920,57.3,3,0.485,371.8,10
U100059,1,202,27,39,911,805,97.1,6,0.6,576.9,9
