user_id,posts_per_week,likes_per_week,comments_per_week,shares_per_week,followers,following,avg_session_minutes,active_days_per_week,night_activity_ratio,video_watch_minutes,purchase_clicks_per_week,cluster,cluster_name,pca_1,pca_2
U100000,3,220,65,8,575,607,81.6,5,0.757,437.9,11,0,Night Owl,-1.0119420256864475,1.7157196807780446
U100001,1,287,67,28,4449,178,83.9,2,0.816,521.2,8,0,Night Owl,-1.1867473307571035,0.4591014924347903
U100002,3,251,78,57,1139,894,64.3,6,1.0,546.0,12,0,Night Owl,0.716720836580918,1.5354676119649886
U100003,7,457,116,48,1200,1065,113.9,6,0.612,712.4,12,1,Content Creator,3.453275938525017,1.4998718182408057
U100004,1,140,60,26,358,496,44.7,1,0.629,324.4,0,2,Low-frequency Browser,-3.5365096857437277,-0.5938668029799383
U100005,0,0,17,18,331,543,52.7,3,0.633,254.9,5,2,Low-frequency Browser,-4.096665966455754,0.8909733921950739
U100006,6,362,88,54,1527,597,88.2,3,0.225,777.6,3,3,Interactive User,0.7829808195568283,-0.09645740002716013
U100007,2,229,40,30,1707,354,71.0,2,0.645,426.1,1,2,Low-frequency Browser,-2.479231128485685,0.04205529976809389
U100008,2,381,89,35,1726,1080,71.0,4,0.744,373.4,11,0,Night Owl,0.5658654039270264,0.34781977658572444
U100009,0,195,38,33,839,631,60.9,2,0.361,371.5,6,2,Low-frequency Browser,-2.6513903217402497,0.1840625627186219
U100010,2,291,44,62,797,1255,85.4,5,0.544,632.8,4,0,Night Owl,0.5550153392088552,1.436775388698552
U100011,5,320,75,77,2359,825,65.3,5,0.332,284.0,8,3,Interactive User,0.9528441258560603,-1.2282750498416108
U100012,4,222,83,26,1120,718,85.4,5,0.306,532.3,11,0,Night Owl,0.06699163203840669,0.9907199189230165
U100013,2,280,42,23,998,826,78.3,5,0.529,503.1,8,0,Night Owl,-0.7690131941169068,1.3555602390439612
U100014,4,243,56,43,1237,478,75.0,5,0.117,449.1,6,0,Night Owl,-0.7352349863145977,-0.08066382017851859
U100015,4,274,50,46,929,735,50.8,3,0.64,128.6,4,2,Low-frequency Browser,-1.5569908476367271,-1.2197849562821697
U100016,3,155,38,36,705,410,112.6,5,0.698,782.9,11,0,Night Owl,-0.5271547972523777,3.4253426732686094
U100017,2,158,38,5,579,141,31.3,2,0.419,237.9,3,2,Low-frequency Browser,-4.3792974759534165,-1.0117748148500085
U100018,4,309,85,43,2938,844,104.2,6,0.427,668.1,9,1,Content Creator,1.7390691229270125,1.277128299999072
U100019,3,333,87,45,2438,775,55.2,4,0.596,281.5,9,3,Interactive User,-0.016160437368047897,-0.8902945215289833
U100020,1,203,59,21,995,889,59.9,3,0.424,242.1,7,2,Low-frequency Browser,-1.9145461061874909,-0.11820100255347869
U100021,1,295,64,46,1391,623,45.4,3,0.197,182.0,0,2,Low-frequency Browser,-2.0366314294759,-1.9515698057805997
U100022,3,460,55,90,3659,978,108.2,6,0.557,814.2,14,1,Content Creator,3.242180469302462,1.8553919448500975
U100023,1,232,52,34,905,979,78.0,4,0.891,450.7,8,0,Night Owl,-0.8081218937084086,1.6320119121367012
U100024,2,149,14,56,1387,487,69.8,2,0.39,583.7,2,2,Low-frequency Browser,-2.348872959916243,0.49514828119272725
U100025,2,254,70,56,2764,615,60.9,3,0.892,369.7,4,3,Interactive User,-0.8494212757332293,-0.36162544915358696
U100026,5,386,106,87,1853,1035,66.0,4,0.398,488.1,11,1,Content Creator,2.103244190949151,-0.8247050596856458
U100027,1,305,54,35,2131,707,75.7,5,0.388,330.8,8,0,Night Owl,-0.655092533683638,0.24503318528205092
U100028,5,429,97,61,1340,906,86.1,5,0.68,731.2,6,1,Content Creator,1.979410282133905,0.7458788933511008
U100029,4,352,80,72,1896,862,65.7,5,0.655,150.0,2,3,Interactive User,0.46013314614765904,-1.4340064013559937
U100030,3,301,49,53,1339,1005,121.1,7,0.595,430.3,7,0,Night Owl,1.2710181953386837,1.9747184254264858
U100031,6,335,67,39,2222,387,60.6,4,0.707,124.8,11,3,Interactive User,-0.5074347814798578,-1.1148897315972235
U100032,1,164,7,12,1081,723,54.7,3,0.482,283.1,7,2,Low-frequency Browser,-3.1206668378562195,0.4839576558797193
U100033,4,281,61,61,1621,566,37.8,3,0.461,292.7,6,3,Interactive User,-1.163400689293463,-1.5584242009439633
U100034,4,346,103,55,1669,883,53.7,6,0.756,220.8,6,3,Interactive User,0.7509304928392607,-0.9770577981501471
U100035,4,270,83,30,1192,736,81.2,6,0.101,454.9,3,3,Interactive User,0.008997506526934753,-0.12727504540452178
U100036,6,369,96,18,1565,935,48.3,4,0.463,108.8,11,3,Interactive User,0.045571645885989866,-1.6698814497497096
U100037,2,266,55,69,1775,490,68.4,3,0.913,283.7,7,0,Night Owl,-1.0084247503224255,-0.0052749500397745175
U100038,3,300,52,52,3505,743,72.5,3,0.612,570.0,8,0,Night Owl,0.013704567375652923,0.20860560073273024
U100039,4,439,98,91,2324,1087,112.7,5,0.113,588.2,10,1,Content Creator,3.1897937077873446,0.21430039559008657
U100040,5,471,117,73,2542,927,70.4,5,0.201,540.4,18,1,Content Creator,2.9154033112317945,-0.5546532685568765
U100041,8,423,98,50,2116,555,86.7,5,0.875,508.2,6,1,Content Creator,1.6763499678230538,-0.13226662403267686
U100042,3,307,60,49,949,955,38.0,3,0.374,194.2,0,3,Interactive User,-1.4243985089615037,-1.9608326509534044
U100043,8,488,98,77,3858,577,71.0,5,0.288,69.7,2,3,Interactive User,1.764102343045402,-3.4510886675390875
U100044,6,308,76,45,1404,990,76.3,3,0.382,429.5,10,3,Interactive User,0.5807124773933061,-0.2842736182030401
U100045,3,302,77,74,1719,1006,65.0,4,0.265,683.5,10,0,Night Owl,1.0189283658523562,0.24868809813164786
U100046,2,293,46,44,1093,851,102.5,6,0.569,712.3,10,0,Night Owl,0.6178733896169376,2.605071812606999
U100047,10,425,87,22,1519,300,93.6,5,0.424,448.1,6,3,Interactive User,0.8990362505021346,-0.5868162219763063
U100048,10,656,141,63,2074,741,99.6,5,0.672,493.3,10,1,Content Creator,4.095642954200237,-1.02055612210286
U100049,3,185,50,38,530,445,60.3,4,0.395,519.6,5,2,Low-frequency Browser,-1.7867622325033106,0.39512654753809245
U100050,3,347,82,56,655,936,80.5,4,0.792,454.8,11,0,Night Owl,0.6832105221609808,0.9169185802001586
U100051,3,355,117,64,2280,1127,102.0,5,0.832,484.4,8,1,Content Creator,2.3130477499422963,0.814451343306754
U100052,7,375,83,16,320,379,71.0,2,0.616,634.0,7,0,Night Owl,-0.6723438641372452,0.10947019741900563
U100053,1,197,40,41,460,943,58.5,4,0.523,1021.6,15,0,Night Owl,-0.460082302147525,2.9892899646108955
U100054,2,176,48,37,1318,508,76.8,3,0.485,419.5,12,0,Night Owl,-1.5172873982832027,0.9542681656356728
U100055,3,195,45,28,901,356,62.6,2,0.453,550.8,10,2,Low-frequency Browser,-2.15334681044885,0.656097927880145
U100056,4,354,99,86,1968,975,43.2,3,0.424,215.3,7,3,Interactive User,0.6577707182090088,-2.280590771193979
U100057,3,334,78,69,994,1164,100.0,7,0.8,519.4,6,1,Content Creator,1.9390125329066052,1.5972489052295504
U100058,3,343,87,47,598,920,57.3,3,0.485,371.8,10,3,Interactive User,-0.1541223681810551,-0.41833831725226683
U100059,1,202,27,39,911,805,97.1,6,0.6,576.9,9,0,Night Owl,-0.530069310850725,2.6180690539605447
U100060,2,208,58,29,530,702,42.0,1,0.367,126.0,3,2,Low-frequency Browser,-2.975297430005461,-1.6123181571185747
U100061,1,164,45,42,903,666,74.5,3,0.629,569.6,8,0,Night Owl,-1.5630353977426283,1.4903811655575987
U100062,3,335,62,73,2596,679,90.2,4,0.412,652.5,11,0,Night Owl,1.0245117416986154,0.8132636614772925
U100063,2,247,49,42,769,836,89.2,5,0.167,610.5,11,0,Night Owl,-0.10810203514968238,1.5776449846937486
U100064,2,288,66,39,1021,980,80.5,6,0.402,425.0,8,0,Night Owl,0.2029368689907028,0.8610144904822264
U100065,5,387,83,44,476,1049,84.8,6,0.239,583.6,11,1,Content Creator,1.6219014282707147,0.7710290172442503
U100066,2,185,20,35,1029,424,74.3,3,0.738,255.3,7,2,Low-frequency Browser,-2.495899767887224,0.6965338808072375
U100067,4,385,74,75,2666,806,51.7,3,0.513,437.6,10,3,Interactive User,0.6622430528225702,-1.1057729782494612
U100068,6,458,96,69,2334,1058,89.8,6,0.145,869.6,6,1,Content Creator,3.1201666533427947,0.2640700454251038
U100069,4,260,81,46,986,829,84.1,3,0.42,494.1,7,0,Night Owl,-0.032772629603387234,0.27998720717321757
U100070,3,324,78,63,1449,808,58.4,2,0.586,174.0,5,3,Interactive User,-0.6889458348625939,-1.5037057993338523
U100071,2,292,62,35,1975,807,54.1,2,0.613,446.2,4,2,Low-frequency Browser,-1.3182311644657811,-0.45953138957370976
U100072,5,250,60,27,899,514,37.9,2,0.772,193.1,5,2,Low-frequency Browser,-2.2491789264075415,-1.3020685395808602
U100073,5,448,89,49,4449,1003,69.7,6,0.228,192.1,8,3,Interactive User,1.905457971673501,-1.9749142244620483
U100074,2,217,60,20,1126,792,38.9,4,0.233,296.4,8,2,Low-frequency Browser,-1.8403218005971353,-0.6906895217219513
U100075,3,252,73,69,1341,793,77.0,6,0.734,472.5,3,0,Night Owl,0.4294416570888615,0.56859500095323
U100076,0,107,47,32,1735,517,63.7,3,0.445,525.7,18,0,Night Owl,-1.8374990798778623,1.6497916475049086
U100077,5,520,117,68,2077,996,86.2,5,0.871,588.5,11,1,Content Creator,3.007986683372976,0.37318824708619247
U100078,5,329,110,72,1871,869,71.0,5,0.419,489.5,13,1,Content Creator,1.8766591180668295,-0.23541737703164772
U100079,3,289,76,37,3203,439,58.1,3,0.197,313.5,6,3,Interactive User,-1.0426826952689308,-1.573053986133293
